Given_dnndt,found_dnndt
0.029338507,0.029338507
0.028371806,0.028371806
0.027358271,0.027358271
0.026483622,0.026483621
0.025745544,0.025745544
0.025174067,0.025174067
0.0247434,0.0247434
0.024328945,0.024328945
0.023919851,0.023919851
0.023651922,0.023651922
0.023569502,0.023569501
0.023581805,0.023581805
0.023589642,0.023589642
0.023548983,0.023548983
0.023524342,0.023524342
0.023488812,0.023488812
0.023426743,0.023426743
0.023372537,0.023372537
0.023215498,0.023215498
0.022834504,0.022834504
0.022152156,0.022152156
0.021290193,0.021290193
0.020407462,0.020407462
0.019590096,0.019590095
0.01877054,0.01877054
0.017989442,0.017989442
0.017257097,0.017257097
0.016510669,0.016510669
0.015821824,0.015821824
0.015339557,0.015339556
0.0151392,0.015139199
0.015117531,0.015117531
0.015129996,0.015129996
0.015072518,0.015072518
0.014961031,0.014961031
0.014746319,0.014746319
0.014451645,0.014451645
0.014166521,0.014166521
0.0138514,0.0138514
0.013386769,0.013386769
0.012736864,0.012736864
0.011953464,0.011953464
